compiler,port,server_threads,parallel_bench_processes,repetition,success,failed,total_iterations,downloads_per_process,elapsed_s,idle_power_w,energy_j_raw,idle_energy_j_estimated,energy_j,real_transferred_bytes,throughput_mib_s
gcc,8080,1,16,14,16,0,16,1.0,2.192414908999126,13.170072646666666,65.723667,28.874263623153578,36.849403376846425,17179869184,7473.038033425693
gcc,8080,1,16,15,16,0,16,1.0,2.1652860419999342,13.170072646666666,64.849949,28.516974473952462,36.332974526047536,17179869184,7566.6677206615905
gcc,8080,1,16,16,16,0,16,1.0,2.1547452780014282,13.170072646666666,63.42035,28.37815184634077,35.04219815365923,17179869184,7603.682981589594
gcc,8080,1,16,17,16,0,16,1.0,2.243695622000814,13.170072646666666,66.506677,29.549634338758676,36.95704266124132,17179869184,7302.238253417626
gcc,8080,1,16,18,16,0,16,1.0,2.1280233090001275,13.170072646666666,63.080356,28.026221573331664,35.05413442666834,17179869184,7699.1637876834075
gcc,8080,1,16,19,16,0,16,1.0,2.1567105809990608,13.170072646666666,64.581163,28.404035029592304,36.177127970407696,17179869184,7596.754123777879
gcc,8080,1,16,20,16,0,16,1.0,2.1856948569984525,13.170072646666666,64.609666,28.78576005011533,35.823905949884676,17179869184,7496.014344152159
gcc,8080,1,16,21,16,0,16,1.0,2.205427482000232,13.170072646666666,66.813454,29.045640154898198,37.7678138451018,17179869184,7428.945242461741
gcc,8080,1,16,22,16,0,16,1.0,2.183595845999662,13.170072646666666,64.091382,28.758115922775104,35.33326607722489,17179869184,7503.219989182256
gcc,8080,1,16,23,16,0,16,1.0,2.1572693369998888,13.170072646666666,64.537037,28.41139388671497,36.12564311328503,17179869184,7594.78648261195
gcc,8080,1,16,24,16,0,16,1.0,2.1668859340006748,13.170072646666666,63.890587,28.538045167829036,35.35254183217096,17179869184,7561.0809701231365
gcc,8080,1,16,25,16,0,16,1.0,2.123255633001463,13.170072646666666,64.741357,27.963430934073486,36.77792606592651,17179869184,7716.451917209495
gcc,8080,1,16,26,16,0,16,1.0,2.188853958999971,13.170072646666666,65.993154,28.82736565297356,37.16578834702645,17179869184,7485.195589515443
gcc,8080,1,32,0,32,0,32,1.0,4.15409610000097,13.170072646666666,123.631835,54.70974741824745,68.92208758175255,34359738368,7888.117947004728
gcc,8080,1,32,1,32,0,32,1.0,4.419845860998976,13.170072646666666,133.623995,58.20969107642549,75.41430392357452,34359738368,7413.833203810814
gcc,8080,1,32,2,32,0,32,1.0,4.278722393999487,13.170072646666666,131.156944,56.351084763892764,74.80585923610724,34359738368,7658.360833587636
gcc,8080,1,32,3,32,0,32,1.0,4.280921539999326,13.170072646666666,128.365203,56.38004767647127,71.98515532352874,34359738368,7654.426668143316
gcc,8080,1,32,4,32,0,32,1.0,4.377318806999028,13.170072646666666,129.395179,57.649606685797465,71.74557231420255,34359738368,7485.860967587339
gcc,8080,1,32,5,32,0,32,1.0,4.411995514999944,13.170072646666666,131.290314,58.106301449316774,73.18401255068322,34359738368,7427.02477565878
gcc,8080,1,32,6,32,0,32,1.0,4.274517384999854,13.170072646666666,126.927549,56.2957044898877,70.6318445101123,34359738368,7665.894660994839
gcc,8080,1,32,7,32,0,32,1.0,4.159901786000773,13.170072646666666,124.79921,54.7862087246286,70.01300127537141,34359738368,7877.109048649522
gcc,8080,1,32,8,32,0,32,1.0,4.323579037001764,13.170072646666666,131.61534,56.94185001091834,74.67348998908167,34359738368,7578.906207002833
gcc,8080,1,32,9,32,0,32,1.0,4.202075228000467,13.170072646666666,126.270142,55.34163601952455,70.92850598047545,34359738368,7798.051729690822
gcc,8080,1,32,10,32,0,32,1.0,4.349112095998862,13.170072646666666,129.807374,57.278122252801744,72.52925174719826,34359738368,7534.411456109908
gcc,8080,1,32,11,32,0,32,1.0,4.3009659179988375,13.170072646666666,128.392408,56.64403359088208,71.7483744091179,34359738368,7618.753699691339
gcc,8080,1,32,12,32,0,32,1.0,4.341496130000451,13.170072646666666,131.23772,57.177819427328124,74.05990057267186,34359738368,7547.628517636523
gcc,8080,1,32,13,32,0,32,1.0,4.268810355999449,13.170072646666666,129.703803,56.22054250335574,73.48326049664425,34359738368,7676.143296913477
gcc,8080,1,32,14,32,0,32,1.0,4.39248419499927,13.170072646666666,131.264055,57.84933594747553,73.41471905252448,34359738368,7460.015459430799
gcc,8080,1,32,15,32,0,32,1.0,4.26064142299947,13.170072646666666,130.115281,56.11295706230026,74.00232393769974,34359738368,7690.86077582457
gcc,8080,1,32,16,32,0,32,1.0,4.277399214999605,13.170072646666666,129.374627,56.333658400339765,73.04096859966023,34359738368,7660.729885836253
gcc,8080,1,32,17,32,0,32,1.0,4.37171669899908,13.170072646666666,131.791082,57.57582651646368,74.21525548353631,34359738368,7495.453675555497
gcc,8080,1,32,18,32,0,32,1.0,4.376996994000365,13.170072646666666,131.23392,57.645368385226426,73.58855161477359,34359738368,7486.411355757324
gcc,8080,1,32,19,32,0,32,1.0,4.2852812399996765,13.170072646666666,128.031465,56.437465242193554,71.59399975780644,34359738368,7646.639313690056
gcc,8080,1,32,20,32,0,32,1.0,4.236309297000844,13.170072646666666,127.132829,55.79250119525051,71.34032780474949,34359738368,7735.034838744796
gcc,8080,1,32,21,32,0,32,1.0,4.287642601999323,13.170072646666666,129.440404,56.46856455127398,72.97183944872603,34359738368,7642.428029034024
gcc,8080,1,32,22,32,0,32,1.0,4.3107900459999655,13.170072646666666,127.277186,56.773418070347084,70.50376792965292,34359738368,7601.390847231316
gcc,8080,1,32,23,32,0,32,1.0,4.298373047999121,13.170072646666666,129.535858,56.609885304622445,72.92597269537754,34359738368,7623.349493886623
gcc,8080,1,32,24,32,0,32,1.0,4.21583807999923,13.170072646666666,125.718718,55.522893780173575,70.19582421982642,34359738368,7772.594530007657
gcc,8080,1,32,25,32,0,32,1.0,4.296712227000171,13.170072646666666,130.464933,56.58801217141317,73.87692082858683,34359738368,7626.296169915383
gcc,8080,1,32,26,32,0,32,1.0,4.336870534998525,13.170072646666666,131.282975,57.1169000051187,74.16607499488128,34359738368,7555.678624843051
gcc,8080,1,64,0,64,0,64,1.0,8.64919048900083,13.170072646666666,258.472428,113.91046707499932,144.56196092500068,68719476736,7577.125290897696
gcc,8080,1,64,1,64,0,64,1.0,8.646691326001019,13.170072646666666,258.709506,113.87755291673594,144.83195308326404,68719476736,7579.315316013431
gcc,8080,1,64,2,64,0,64,1.0,8.655020706999494,13.170072646666666,257.592681,113.98725146958763,143.60542953041238,68719476736,7572.021167667419
gcc,8080,1,64,3,64,0,64,1.0,8.578243100000691,13.170072646666666,254.848011,112.97608480777616,141.87192619222384,68719476736,7639.792814917395
gcc,8080,1,64,4,64,0,64,1.0,8.605012590000115,13.170072646666666,254.326722,113.3286409357828,140.9980810642172,68719476736,7616.026044652089
gcc,8080,1,64,5,64,0,64,1.0,8.644638175999717,13.170072646666666,259.270146,113.85051278206429,145.4196332179357,68719476736,7581.115445866655
gcc,8080,1,64,6,64,0,64,1.0,8.63962839099986,13.170072646666666,259.239783,113.784533549672,145.45524945032798,68719476736,7585.511440315033
gcc,8080,1,64,7,64,0,64,1.0,8.58211264900092,13.170072646666666,256.344058,113.02704704921901,143.31701095078103,68719476736,7636.348144140165
gcc,8080,1,64,8,64,0,64,1.0,8.52654427699963,13.170072646666666,256.917713,112.29520755310503,144.62250544689496,68719476736,7686.115015761249
gcc,8080,1,64,9,64,0,64,1.0,8.559656994000761,13.170072646666666,258.990268,112.73130444153844,146.25896355846157,68719476736,7656.381563645887
gcc,8080,1,64,10,64,0,64,1.0,8.638347903999602,13.170072646666666,260.016048,113.76766944285548,146.24837855714452,68719476736,7586.635862357023
gcc,8080,1,64,11,64,0,64,1.0,8.596090541999729,13.170072646666666,257.876038,113.21113691546067,144.66490108453934,68719476736,7623.930864827094
gcc,8080,1,64,12,64,0,64,1.0,8.66833275299905,13.170072646666666,258.137697,114.16257208247754,143.97512491752246,68719476736,7560.392738422047
gcc,8080,1,64,13,64,0,64,1.0,8.638495608000085,13.170072646666666,261.08893,113.76961471527204,147.31931528472796,68719476736,7586.506143420077
gcc,8080,1,64,14,64,0,64,1.0,8.615081742000257,13.170072646666666,258.069723,113.461252399115,144.60847060088503,68719476736,7607.124570913682
gcc,8080,1,64,15,64,0,64,1.0,8.45927847999883,13.170072646666666,252.547639,111.40931211996856,141.13832688003146,68719476736,7747.232834922473
gcc,8080,1,64,16,64,0,64,1.0,8.756779784000173,13.170072646666666,260.616298,115.32742590614431,145.28887209385567,68719476736,7484.029702304856
gcc,8080,1,64,17,64,0,64,1.0,8.655219152000427,13.170072646666666,261.598974,113.98986500466629,147.6091089953337,68719476736,7571.847557996619
gcc,8080,1,64,18,64,0,64,1.0,8.574185815999954,13.170072646666666,258.530866,112.9226500827383,145.6082159172617,68719476736,7643.407946408839
gcc,8080,1,64,19,64,0,64,1.0,8.611430144999758,13.170072646666666,259.183755,113.41316060134208,145.77059439865792,68719476736,7610.3503014599255
gcc,8080,1,64,20,64,0,64,1.0,8.724115368999264,13.170072646666666,259.889347,114.89723318762148,144.9921138123785,68719476736,7512.051047935371
gcc,8080,1,64,21,64,0,64,1.0,8.537666747999538,13.170072646666666,257.100444,112.44169130418426,144.65875269581574,68719476736,7676.101906338257
gcc,8080,1,64,22,64,0,64,1.0,8.654864581998481,13.170072646666666,261.229655,113.98519529198232,147.24445970801764,68719476736,7572.15775926874
